image_path,label
dataset-resized\metal\metal146.jpg,metal
dataset-resized\metal\metal147.jpg,metal
dataset-resized\metal\metal148.jpg,metal
dataset-resized\metal\metal149.jpg,metal
dataset-resized\metal\metal15.jpg,metal
dataset-resized\metal\metal150.jpg,metal
dataset-resized\metal\metal151.jpg,metal
dataset-resized\metal\metal152.jpg,metal
dataset-resized\metal\metal153.jpg,metal
dataset-resized\metal\metal154.jpg,metal
dataset-resized\metal\metal155.jpg,metal
dataset-resized\metal\metal156.jpg,metal
dataset-resized\metal\metal157.jpg,metal
dataset-resized\metal\metal158.jpg,metal
dataset-resized\metal\metal159.jpg,metal
dataset-resized\metal\metal16.jpg,metal
dataset-resized\metal\metal160.jpg,metal
dataset-resized\metal\metal161.jpg,metal
dataset-resized\metal\metal162.jpg,metal
dataset-resized\metal\metal163.jpg,metal
dataset-resized\metal\metal164.jpg,metal
dataset-resized\metal\metal165.jpg,metal
dataset-resized\metal\metal166.jpg,metal
dataset-resized\metal\metal167.jpg,metal
dataset-resized\metal\metal168.jpg,metal
dataset-resized\metal\metal169.jpg,metal
dataset-resized\metal\metal17.jpg,metal
dataset-resized\metal\metal170.jpg,metal
dataset-resized\metal\metal171.jpg,metal
dataset-resized\metal\metal172.jpg,metal
dataset-resized\metal\metal173.jpg,metal
dataset-resized\metal\metal174.jpg,metal
dataset-resized\metal\metal175.jpg,metal
dataset-resized\metal\metal176.jpg,metal
dataset-resized\metal\metal177.jpg,metal
dataset-resized\metal\metal178.jpg,metal
dataset-resized\metal\metal179.jpg,metal
dataset-resized\metal\metal18.jpg,metal
dataset-resized\metal\metal180.jpg,metal
dataset-resized\metal\metal181.jpg,metal
dataset-resized\metal\metal182.jpg,metal
dataset-resized\metal\metal183.jpg,metal
dataset-resized\metal\metal184.jpg,metal
dataset-resized\metal\metal185.jpg,metal
dataset-resized\metal\metal186.jpg,metal
dataset-resized\metal\metal187.jpg,metal
dataset-resized\metal\metal188.jpg,metal
dataset-resized\metal\metal189.jpg,metal
dataset-resized\metal\metal19.jpg,metal
dataset-resized\metal\metal190.jpg,metal
dataset-resized\metal\metal191.jpg,metal
dataset-resized\metal\metal192.jpg,metal
dataset-resized\metal\metal193.jpg,metal
dataset-resized\metal\metal194.jpg,metal
dataset-resized\metal\metal195.jpg,metal
dataset-resized\metal\metal196.jpg,metal
dataset-resized\metal\metal197.jpg,metal
dataset-resized\metal\metal198.jpg,metal
dataset-resized\metal\metal199.jpg,metal
dataset-resized\metal\metal2.jpg,metal
dataset-resized\metal\metal20.jpg,metal
dataset-resized\metal\metal200.jpg,metal
dataset-resized\metal\metal201.jpg,metal
dataset-resized\metal\metal202.jpg,metal
dataset-resized\metal\metal203.jpg,metal
dataset-resized\metal\metal204.jpg,metal
dataset-resized\metal\metal205.jpg,metal
dataset-resized\metal\metal206.jpg,metal
dataset-resized\metal\metal207.jpg,metal
dataset-resized\metal\metal208.jpg,metal
dataset-resized\metal\metal209.jpg,metal
dataset-resized\metal\metal21.jpg,metal
dataset-resized\metal\metal210.jpg,metal
dataset-resized\metal\metal211.jpg,metal
dataset-resized\metal\metal212.jpg,metal
dataset-resized\metal\metal213.jpg,metal
dataset-resized\metal\metal214.jpg,metal
dataset-resized\metal\metal215.jpg,metal
dataset-resized\metal\metal216.jpg,metal
dataset-resized\metal\metal217.jpg,metal
dataset-resized\metal\metal218.jpg,metal
dataset-resized\metal\metal219.jpg,metal
dataset-resized\metal\metal22.jpg,metal
dataset-resized\metal\metal220.jpg,metal
dataset-resized\metal\metal221.jpg,metal
dataset-resized\metal\metal222.jpg,metal
dataset-resized\metal\metal223.jpg,metal
dataset-resized\metal\metal224.jpg,metal
dataset-resized\metal\metal225.jpg,metal
dataset-resized\metal\metal226.jpg,metal
dataset-resized\metal\metal227.jpg,metal
dataset-resized\metal\metal228.jpg,metal
dataset-resized\metal\metal229.jpg,metal
dataset-resized\metal\metal23.jpg,metal
dataset-resized\metal\metal230.jpg,metal
dataset-resized\metal\metal231.jpg,metal
dataset-resized\metal\metal232.jpg,metal
dataset-resized\metal\metal233.jpg,metal
dataset-resized\metal\metal234.jpg,metal
dataset-resized\metal\metal235.jpg,metal
dataset-resized\metal\metal236.jpg,metal
dataset-resized\metal\metal237.jpg,metal
dataset-resized\metal\metal238.jpg,metal
dataset-resized\metal\metal239.jpg,metal
dataset-resized\metal\metal24.jpg,metal
dataset-resized\metal\metal240.jpg,metal
dataset-resized\metal\metal241.jpg,metal
dataset-resized\metal\metal242.jpg,metal
dataset-resized\metal\metal243.jpg,metal
dataset-resized\metal\metal244.jpg,metal
dataset-resized\metal\metal245.jpg,metal
dataset-resized\metal\metal246.jpg,metal
dataset-resized\metal\metal247.jpg,metal
dataset-resized\metal\metal248.jpg,metal
dataset-resized\metal\metal249.jpg,metal
dataset-resized\metal\metal25.jpg,metal
dataset-resized\metal\metal250.jpg,metal
dataset-resized\metal\metal251.jpg,metal
dataset-resized\metal\metal252.jpg,metal
dataset-resized\metal\metal253.jpg,metal
dataset-resized\metal\metal254.jpg,metal
dataset-resized\metal\metal255.jpg,metal
dataset-resized\metal\metal256.jpg,metal
dataset-resized\metal\metal257.jpg,metal
dataset-resized\metal\metal258.jpg,metal
dataset-resized\metal\metal259.jpg,metal
dataset-resized\metal\metal26.jpg,metal
dataset-resized\metal\metal260.jpg,metal
dataset-resized\metal\metal261.jpg,metal
dataset-resized\metal\metal262.jpg,metal
dataset-resized\metal\metal263.jpg,metal
dataset-resized\metal\metal264.jpg,metal
dataset-resized\metal\metal265.jpg,metal
dataset-resized\metal\metal266.jpg,metal
dataset-resized\metal\metal267.jpg,metal
dataset-resized\metal\metal268.jpg,metal
dataset-resized\metal\metal269.jpg,metal
dataset-resized\metal\metal27.jpg,metal
dataset-resized\metal\metal270.jpg,metal
dataset-resized\metal\metal271.jpg,metal
dataset-resized\metal\metal272.jpg,metal
dataset-resized\metal\metal273.jpg,metal
dataset-resized\metal\metal274.jpg,metal
dataset-resized\metal\metal275.jpg,metal
dataset-resized\metal\metal276.jpg,metal
dataset-resized\metal\metal277.jpg,metal
dataset-resized\metal\metal278.jpg,metal
dataset-resized\metal\metal279.jpg,metal
dataset-resized\metal\metal28.jpg,metal
dataset-resized\metal\metal280.jpg,metal
dataset-resized\metal\metal281.jpg,metal
dataset-resized\metal\metal282.jpg,metal
dataset-resized\metal\metal283.jpg,metal
dataset-resized\metal\metal284.jpg,metal
dataset-resized\metal\metal285.jpg,metal
dataset-resized\metal\metal286.jpg,metal
dataset-resized\metal\metal287.jpg,metal
dataset-resized\metal\metal288.jpg,metal
dataset-resized\metal\metal289.jpg,metal
dataset-resized\metal\metal29.jpg,metal
dataset-resized\metal\metal290.jpg,metal
dataset-resized\metal\metal291.jpg,metal
dataset-resized\metal\metal292.jpg,metal
dataset-resized\metal\metal293.jpg,metal
dataset-resized\metal\metal294.jpg,metal
dataset-resized\metal\metal295.jpg,metal
dataset-resized\metal\metal296.jpg,metal
dataset-resized\metal\metal297.jpg,metal
dataset-resized\metal\metal298.jpg,metal
dataset-resized\metal\metal299.jpg,metal
dataset-resized\metal\metal3.jpg,metal
dataset-resized\metal\metal30.jpg,metal
dataset-resized\metal\metal300.jpg,metal
dataset-resized\metal\metal301.jpg,metal
dataset-resized\metal\metal302.jpg,metal
dataset-resized\metal\metal303.jpg,metal
dataset-resized\metal\metal304.jpg,metal
dataset-resized\metal\metal305.jpg,metal
dataset-resized\metal\metal306.jpg,metal
dataset-resized\metal\metal307.jpg,metal
dataset-resized\metal\metal308.jpg,metal
dataset-resized\metal\metal309.jpg,metal
dataset-resized\metal\metal31.jpg,metal
dataset-resized\metal\metal310.jpg,metal
dataset-resized\metal\metal311.jpg,metal
dataset-resized\metal\metal312.jpg,metal
dataset-resized\metal\metal313.jpg,metal
dataset-resized\metal\metal314.jpg,metal
dataset-resized\metal\metal315.jpg,metal
dataset-resized\metal\metal316.jpg,metal
dataset-resized\metal\metal317.jpg,metal
dataset-resized\metal\metal318.jpg,metal
dataset-resized\metal\metal319.jpg,metal
dataset-resized\metal\metal32.jpg,metal
dataset-resized\metal\metal320.jpg,metal
dataset-resized\metal\metal321.jpg,metal
dataset-resized\metal\metal322.jpg,metal
dataset-resized\metal\metal323.jpg,metal
dataset-resized\metal\metal324.jpg,metal
dataset-resized\metal\metal325.jpg,metal
dataset-resized\metal\metal326.jpg,metal
dataset-resized\metal\metal327.jpg,metal
dataset-resized\metal\metal328.jpg,metal
dataset-resized\metal\metal329.jpg,metal
dataset-resized\metal\metal33.jpg,metal
dataset-resized\metal\metal330.jpg,metal
dataset-resized\metal\metal331.jpg,metal
dataset-resized\metal\metal332.jpg,metal
dataset-resized\metal\metal333.jpg,metal
dataset-resized\metal\metal334.jpg,metal
dataset-resized\metal\metal335.jpg,metal
dataset-resized\metal\metal336.jpg,metal
dataset-resized\metal\metal337.jpg,metal
dataset-resized\metal\metal338.jpg,metal
dataset-resized\metal\metal339.jpg,metal
dataset-resized\metal\metal34.jpg,metal
dataset-resized\metal\metal340.jpg,metal
dataset-resized\metal\metal341.jpg,metal
dataset-resized\metal\metal342.jpg,metal
dataset-resized\metal\metal343.jpg,metal
dataset-resized\metal\metal344.jpg,metal
dataset-resized\metal\metal345.jpg,metal
dataset-resized\metal\metal346.jpg,metal
dataset-resized\metal\metal347.jpg,metal
dataset-resized\metal\metal348.jpg,metal
dataset-resized\metal\metal349.jpg,metal
dataset-resized\metal\metal35.jpg,metal
dataset-resized\metal\metal350.jpg,metal
dataset-resized\metal\metal351.jpg,metal
dataset-resized\metal\metal352.jpg,metal
dataset-resized\metal\metal353.jpg,metal
dataset-resized\metal\metal354.jpg,metal
dataset-resized\metal\metal355.jpg,metal
dataset-resized\metal\metal356.jpg,metal
dataset-resized\metal\metal357.jpg,metal
dataset-resized\metal\metal358.jpg,metal
dataset-resized\metal\metal359.jpg,metal
dataset-resized\metal\metal36.jpg,metal
dataset-resized\metal\metal360.jpg,metal
dataset-resized\metal\metal361.jpg,metal
dataset-resized\metal\metal362.jpg,metal
dataset-resized\metal\metal363.jpg,metal
dataset-resized\metal\metal364.jpg,metal
dataset-resized\metal\metal365.jpg,metal
dataset-resized\metal\metal366.jpg,metal
dataset-resized\metal\metal367.jpg,metal
dataset-resized\metal\metal368.jpg,metal
dataset-resized\metal\metal369.jpg,metal
dataset-resized\metal\metal37.jpg,metal
dataset-resized\metal\metal370.jpg,metal
dataset-resized\metal\metal371.jpg,metal
dataset-resized\metal\metal372.jpg,metal
dataset-resized\metal\metal373.jpg,metal
dataset-resized\metal\metal374.jpg,metal
dataset-resized\metal\metal375.jpg,metal
dataset-resized\metal\metal376.jpg,metal
dataset-resized\metal\metal377.jpg,metal
dataset-resized\metal\metal378.jpg,metal
dataset-resized\metal\metal379.jpg,metal
dataset-resized\metal\metal38.jpg,metal
dataset-resized\metal\metal380.jpg,metal
dataset-resized\metal\metal381.jpg,metal
dataset-resized\metal\metal382.jpg,metal
dataset-resized\metal\metal383.jpg,metal
dataset-resized\metal\metal384.jpg,metal
dataset-resized\metal\metal385.jpg,metal
dataset-resized\metal\metal386.jpg,metal
dataset-resized\metal\metal387.jpg,metal
dataset-resized\metal\metal388.jpg,metal
dataset-resized\metal\metal389.jpg,metal
dataset-resized\metal\metal39.jpg,metal
dataset-resized\metal\metal390.jpg,metal
dataset-resized\metal\metal391.jpg,metal
dataset-resized\metal\metal392.jpg,metal
dataset-resized\metal\metal393.jpg,metal
dataset-resized\metal\metal394.jpg,metal
dataset-resized\metal\metal395.jpg,metal
dataset-resized\metal\metal396.jpg,metal
dataset-resized\metal\metal397.jpg,metal
dataset-resized\metal\metal398.jpg,metal
dataset-resized\metal\metal399.jpg,metal
dataset-resized\metal\metal4.jpg,metal
dataset-resized\metal\metal40.jpg,metal
dataset-resized\metal\metal400.jpg,metal
dataset-resized\metal\metal401.jpg,metal
dataset-resized\metal\metal402.jpg,metal
dataset-resized\metal\metal403.jpg,metal
dataset-resized\metal\metal404.jpg,metal
dataset-resized\metal\metal405.jpg,metal
dataset-resized\metal\metal406.jpg,metal
dataset-resized\metal\metal407.jpg,metal
dataset-resized\metal\metal408.jpg,metal
dataset-resized\metal\metal409.jpg,metal
dataset-resized\metal\metal41.jpg,metal
dataset-resized\metal\metal410.jpg,metal
dataset-resized\metal\metal42.jpg,metal
dataset-resized\metal\metal43.jpg,metal
dataset-resized\metal\metal44.jpg,metal
dataset-resized\metal\metal45.jpg,metal
dataset-resized\metal\metal46.jpg,metal
dataset-resized\metal\metal47.jpg,metal
dataset-resized\metal\metal48.jpg,metal
dataset-resized\metal\metal49.jpg,metal
dataset-resized\metal\metal5.jpg,metal
dataset-resized\metal\metal50.jpg,metal
dataset-resized\metal\metal51.jpg,metal
dataset-resized\metal\metal52.jpg,metal
dataset-resized\metal\metal53.jpg,metal
dataset-resized\metal\metal54.jpg,metal
dataset-resized\metal\metal55.jpg,metal
dataset-resized\metal\metal56.jpg,metal
dataset-resized\metal\metal57.jpg,metal
dataset-resized\metal\metal58.jpg,metal
dataset-resized\metal\metal59.jpg,metal
dataset-resized\metal\metal6.jpg,metal
dataset-resized\metal\metal60.jpg,metal
dataset-resized\metal\metal61.jpg,metal
dataset-resized\metal\metal62.jpg,metal
dataset-resized\metal\metal63.jpg,metal
dataset-resized\metal\metal64.jpg,metal
dataset-resized\metal\metal65.jpg,metal
dataset-resized\metal\metal66.jpg,metal
dataset-resized\metal\metal67.jpg,metal
dataset-resized\metal\metal68.jpg,metal
dataset-resized\metal\metal69.jpg,metal
dataset-resized\metal\metal7.jpg,metal
dataset-resized\metal\metal70.jpg,metal
dataset-resized\metal\metal71.jpg,metal
dataset-resized\metal\metal72.jpg,metal
dataset-resized\metal\metal73.jpg,metal
dataset-resized\metal\metal74.jpg,metal
dataset-resized\metal\metal75.jpg,metal
dataset-resized\metal\metal76.jpg,metal
dataset-resized\metal\metal77.jpg,metal
dataset-resized\metal\metal78.jpg,metal
dataset-resized\metal\metal79.jpg,metal
dataset-resized\metal\metal8.jpg,metal
dataset-resized\metal\metal80.jpg,metal
dataset-resized\metal\metal81.jpg,metal
dataset-resized\metal\metal82.jpg,metal
dataset-resized\metal\metal83.jpg,metal
dataset-resized\metal\metal84.jpg,metal
dataset-resized\metal\metal85.jpg,metal
dataset-resized\metal\metal86.jpg,metal
dataset-resized\metal\metal87.jpg,metal
dataset-resized\metal\metal88.jpg,metal
dataset-resized\metal\metal89.jpg,metal
dataset-resized\metal\metal9.jpg,metal
dataset-resized\metal\metal90.jpg,metal
dataset-resized\metal\metal91.jpg,metal
dataset-resized\metal\metal92.jpg,metal
dataset-resized\metal\metal93.jpg,metal
dataset-resized\metal\metal94.jpg,metal
dataset-resized\metal\metal95.jpg,metal
dataset-resized\metal\metal96.jpg,metal
dataset-resized\metal\metal97.jpg,metal
dataset-resized\metal\metal98.jpg,metal
dataset-resized\metal\metal99.jpg,metal
dataset-resized\other\glass1.jpg,other
dataset-resized\other\glass10.jpg,other
dataset-resized\other\glass100.jpg,other
dataset-resized\other\glass101.jpg,other
dataset-resized\other\glass102.jpg,other
dataset-resized\other\glass103.jpg,other
dataset-resized\other\glass104.jpg,other
dataset-resized\other\glass105.jpg,other
dataset-resized\other\glass106.jpg,other
dataset-resized\other\glass107.jpg,other
dataset-resized\other\glass108.jpg,other
dataset-resized\other\glass109.jpg,other
dataset-resized\other\glass11.jpg,other
dataset-resized\other\glass110.jpg,other
dataset-resized\other\glass111.jpg,other
dataset-resized\other\glass112.jpg,other
dataset-resized\other\glass113.jpg,other
dataset-resized\other\glass114.jpg,other
dataset-resized\other\glass115.jpg,other
dataset-resized\other\glass116.jpg,other
dataset-resized\other\glass117.jpg,other
dataset-resized\other\glass118.jpg,other
dataset-resized\other\glass119.jpg,other
dataset-resized\other\glass12.jpg,other
dataset-resized\other\glass120.jpg,other
dataset-resized\other\glass121.jpg,other
dataset-resized\other\glass122.jpg,other
dataset-resized\other\glass123.jpg,other
dataset-resized\other\glass124.jpg,other
dataset-resized\other\glass125.jpg,other
dataset-resized\other\glass126.jpg,other
dataset-resized\other\glass127.jpg,other
dataset-resized\other\glass128.jpg,other
dataset-resized\other\glass129.jpg,other
dataset-resized\other\glass13.jpg,other
dataset-resized\other\glass130.jpg,other
dataset-resized\other\glass131.jpg,other
dataset-resized\other\glass132.jpg,other
dataset-resized\other\glass133.jpg,other
dataset-resized\other\glass134.jpg,other
dataset-resized\other\glass135.jpg,other
dataset-resized\other\glass136.jpg,other
dataset-resized\other\glass137.jpg,other
dataset-resized\other\glass138.jpg,other
dataset-resized\other\glass139.jpg,other
dataset-resized\other\glass14.jpg,other
dataset-resized\other\glass140.jpg,other
dataset-resized\other\glass141.jpg,other
dataset-resized\other\glass142.jpg,other
dataset-resized\other\glass143.jpg,other
dataset-resized\other\glass144.jpg,other
dataset-resized\other\glass145.jpg,other
dataset-resized\other\glass146.jpg,other
dataset-resized\other\glass147.jpg,other
dataset-resized\other\glass148.jpg,other
dataset-resized\other\glass149.jpg,other
dataset-resized\other\glass15.jpg,other
dataset-resized\other\glass150.jpg,other
dataset-resized\other\glass151.jpg,other
dataset-resized\other\glass152.jpg,other
dataset-resized\other\glass153.jpg,other
dataset-resized\other\glass154.jpg,other
dataset-resized\other\glass155.jpg,other
dataset-resized\other\glass156.jpg,other
dataset-resized\other\glass157.jpg,other
dataset-resized\other\glass158.jpg,other
dataset-resized\other\glass159.jpg,other
dataset-resized\other\glass16.jpg,other
dataset-resized\other\glass160.jpg,other
dataset-resized\other\glass161.jpg,other
dataset-resized\other\glass162.jpg,other
dataset-resized\other\glass163.jpg,other
dataset-resized\other\glass164.jpg,other
dataset-resized\other\glass165.jpg,other
dataset-resized\other\glass166.jpg,other
dataset-resized\other\glass167.jpg,other
dataset-resized\other\glass168.jpg,other
dataset-resized\other\glass169.jpg,other
dataset-resized\other\glass17.jpg,other
dataset-resized\other\glass170.jpg,other
dataset-resized\other\glass171.jpg,other
dataset-resized\other\glass172.jpg,other
dataset-resized\other\glass173.jpg,other
dataset-resized\other\glass174.jpg,other
dataset-resized\other\glass175.jpg,other
dataset-resized\other\glass176.jpg,other
dataset-resized\other\glass177.jpg,other
dataset-resized\other\glass178.jpg,other
dataset-resized\other\glass179.jpg,other
dataset-resized\other\glass18.jpg,other
dataset-resized\other\glass180.jpg,other
dataset-resized\other\glass181.jpg,other
dataset-resized\other\glass182.jpg,other
dataset-resized\other\glass183.jpg,other
dataset-resized\other\glass184.jpg,other
dataset-resized\other\glass185.jpg,other
dataset-resized\other\glass186.jpg,other
dataset-resized\other\glass187.jpg,other
dataset-resized\other\glass188.jpg,other
dataset-resized\other\glass189.jpg,other
dataset-resized\other\glass19.jpg,other
dataset-resized\other\glass190.jpg,other
dataset-resized\other\glass191.jpg,other
dataset-resized\other\glass192.jpg,other
dataset-resized\other\glass193.jpg,other
dataset-resized\other\glass194.jpg,other
dataset-resized\other\glass195.jpg,other
dataset-resized\other\glass196.jpg,other
dataset-resized\other\glass197.jpg,other
dataset-resized\other\glass198.jpg,other
dataset-resized\other\glass199.jpg,other
dataset-resized\other\glass2.jpg,other
dataset-resized\other\glass20.jpg,other
dataset-resized\other\glass200.jpg,other
dataset-resized\other\glass201.jpg,other
dataset-resized\other\glass202.jpg,other
dataset-resized\other\glass203.jpg,other
dataset-resized\other\glass204.jpg,other
dataset-resized\other\glass205.jpg,other
dataset-resized\other\glass206.jpg,other
dataset-resized\other\glass207.jpg,other
dataset-resized\other\glass208.jpg,other
dataset-resized\other\glass209.jpg,other
dataset-resized\other\glass21.jpg,other
dataset-resized\other\glass210.jpg,other
dataset-resized\other\glass211.jpg,other
dataset-resized\other\glass212.jpg,other
dataset-resized\other\glass213.jpg,other
dataset-resized\other\glass214.jpg,other
dataset-resized\other\glass215.jpg,other
dataset-resized\other\glass216.jpg,other
dataset-resized\other\glass217.jpg,other
dataset-resized\other\glass218.jpg,other
dataset-resized\other\glass219.jpg,other
dataset-resized\other\glass22.jpg,other
dataset-resized\other\glass220.jpg,other
dataset-resized\other\glass221.jpg,other
dataset-resized\other\glass222.jpg,other
dataset-resized\other\glass223.jpg,other
dataset-resized\other\glass224.jpg,other
dataset-resized\other\glass225.jpg,other
dataset-resized\other\glass226.jpg,other
dataset-resized\other\glass227.jpg,other
dataset-resized\other\glass228.jpg,other
dataset-resized\other\glass229.jpg,other
dataset-resized\other\glass23.jpg,other
dataset-resized\other\glass230.jpg,other
dataset-resized\other\glass231.jpg,other
dataset-resized\other\glass232.jpg,other
dataset-resized\other\glass233.jpg,other
dataset-resized\other\glass234.jpg,other
dataset-resized\other\glass235.jpg,other
dataset-resized\other\glass236.jpg,other
dataset-resized\other\glass237.jpg,other
dataset-resized\other\glass238.jpg,other
dataset-resized\other\glass239.jpg,other
dataset-resized\other\glass24.jpg,other
dataset-resized\other\glass240.jpg,other
dataset-resized\other\glass241.jpg,other
dataset-resized\other\glass242.jpg,other
dataset-resized\other\glass243.jpg,other
dataset-resized\other\glass244.jpg,other
dataset-resized\other\glass245.jpg,other
dataset-resized\other\glass246.jpg,other
dataset-resized\other\glass247.jpg,other
dataset-resized\other\glass248.jpg,other
dataset-resized\other\glass249.jpg,other
dataset-resized\other\glass25.jpg,other
dataset-resized\other\glass250.jpg,other
dataset-resized\other\glass251.jpg,other
dataset-resized\other\glass252.jpg,other
dataset-resized\other\glass253.jpg,other
dataset-resized\other\glass254.jpg,other
dataset-resized\other\glass255.jpg,other
dataset-resized\other\glass256.jpg,other
dataset-resized\other\glass257.jpg,other
dataset-resized\other\glass258.jpg,other
dataset-resized\other\glass259.jpg,other
dataset-resized\other\glass26.jpg,other
dataset-resized\other\glass260.jpg,other
dataset-resized\other\glass261.jpg,other
dataset-resized\other\glass262.jpg,other
dataset-resized\other\glass263.jpg,other
dataset-resized\other\glass264.jpg,other
dataset-resized\other\glass265.jpg,other
dataset-resized\other\glass266.jpg,other
dataset-resized\other\glass267.jpg,other
dataset-resized\other\glass268.jpg,other
dataset-resized\other\glass269.jpg,other
dataset-resized\other\glass27.jpg,other
dataset-resized\other\glass270.jpg,other
dataset-resized\other\glass271.jpg,other
dataset-resized\other\glass272.jpg,other
dataset-resized\other\glass273.jpg,other
dataset-resized\other\glass274.jpg,other
dataset-resized\other\glass275.jpg,other
dataset-resized\other\glass276.jpg,other
dataset-resized\other\glass277.jpg,other
dataset-resized\other\glass278.jpg,other
dataset-resized\other\glass279.jpg,other
dataset-resized\other\glass28.jpg,other
dataset-resized\other\glass280.jpg,other
dataset-resized\other\glass281.jpg,other
dataset-resized\other\glass282.jpg,other
dataset-resized\other\glass283.jpg,other
dataset-resized\other\glass284.jpg,other
dataset-resized\other\glass285.jpg,other
dataset-resized\other\glass286.jpg,other
dataset-resized\other\glass287.jpg,other
dataset-resized\other\glass288.jpg,other
dataset-resized\other\glass289.jpg,other
dataset-resized\other\glass29.jpg,other
dataset-resized\other\glass290.jpg,other
dataset-resized\other\glass291.jpg,other
dataset-resized\other\glass292.jpg,other
dataset-resized\other\glass293.jpg,other
dataset-resized\other\glass294.jpg,other
dataset-resized\other\glass295.jpg,other
dataset-resized\other\glass296.jpg,other
dataset-resized\other\glass297.jpg,other
dataset-resized\other\glass298.jpg,other
dataset-resized\other\glass299.jpg,other
dataset-resized\other\glass3.jpg,other
dataset-resized\other\glass30.jpg,other
dataset-resized\other\glass300.jpg,other
dataset-resized\other\glass301.jpg,other
dataset-resized\other\glass302.jpg,other
dataset-resized\other\glass303.jpg,other
dataset-resized\other\glass304.jpg,other
dataset-resized\other\glass305.jpg,other
dataset-resized\other\glass306.jpg,other
dataset-resized\other\glass307.jpg,other
dataset-resized\other\glass308.jpg,other
dataset-resized\other\glass309.jpg,other
dataset-resized\other\glass31.jpg,other
dataset-resized\other\glass310.jpg,other
dataset-resized\other\glass311.jpg,other
dataset-resized\other\glass312.jpg,other
dataset-resized\other\glass313.jpg,other
dataset-resized\other\glass314.jpg,other
dataset-resized\other\glass315.jpg,other
dataset-resized\other\glass316.jpg,other
dataset-resized\other\glass317.jpg,other
dataset-resized\other\glass318.jpg,other
dataset-resized\other\glass319.jpg,other
dataset-resized\other\glass32.jpg,other
dataset-resized\other\glass320.jpg,other
dataset-resized\other\glass321.jpg,other
dataset-resized\other\glass322.jpg,other
dataset-resized\other\glass323.jpg,other
dataset-resized\other\glass324.jpg,other
dataset-resized\other\glass325.jpg,other
dataset-resized\other\glass326.jpg,other
dataset-resized\other\glass327.jpg,other
dataset-resized\other\glass328.jpg,other
dataset-resized\other\glass329.jpg,other
dataset-resized\other\glass33.jpg,other
dataset-resized\other\glass330.jpg,other
dataset-resized\other\glass331.jpg,other
dataset-resized\other\glass332.jpg,other
dataset-resized\other\glass333.jpg,other
dataset-resized\other\glass334.jpg,other
dataset-resized\other\glass335.jpg,other
dataset-resized\other\glass336.jpg,other
dataset-resized\other\glass337.jpg,other
dataset-resized\other\glass338.jpg,other
dataset-resized\other\glass339.jpg,other
dataset-resized\other\glass34.jpg,other
dataset-resized\other\glass340.jpg,other
dataset-resized\other\glass341.jpg,other
dataset-resized\other\glass342.jpg,other
dataset-resized\other\glass343.jpg,other
dataset-resized\other\glass344.jpg,other
dataset-resized\other\glass345.jpg,other
dataset-resized\other\glass346.jpg,other
dataset-resized\other\glass347.jpg,other
dataset-resized\other\glass348.jpg,other
dataset-resized\other\glass349.jpg,other
dataset-resized\other\glass35.jpg,other
dataset-resized\other\glass350.jpg,other
dataset-resized\other\glass351.jpg,other
dataset-resized\other\glass352.jpg,other
dataset-resized\other\glass353.jpg,other
